user_id,id,price,beds,livings,wc,area,street_width,age,street_direction,ketchen,furnished,district,width,length,advertiser_type,city_side,district_en,time_on_market,time_since_update,last_update_year,last_update_month,last_update_day,last_update_hour,create_time_year,create_time_month,create_time_day,create_time_hour,latitude,longitude,squareness,regular_shapeness
923421,4443094,1200000,3,1,3,130,30,1,1,0,0,حي الملقا,10.0,13.0,exclusive_marketer,north,Al Malqa Dist.,65,11,2022,8,12,11,2022,6,19,17,24.808867,46.594334,0.7692307692307693,1.0
2038202,4389387,1000000,2,1,3,145,15,,2,1,0,حي النرجس,,,exclusive_marketer,north,An Narjis Dist.,79,24,2022,7,30,10,2022,6,5,17,24.835852,46.660614,,
312160,4497964,1050000,3,0,3,119,36,0,1,1,0,حي الملقا,11.0,11.0,owner,north,Al Malqa Dist.,49,16,2022,8,7,16,2022,7,5,5,24.813291,46.592511,1.0,0.9834710743801653
1042974,4309357,1342000,3,1,4,154,,0,9,1,0,حي النرجس,10.0,15.0,agent,north,An Narjis Dist.,101,29,2022,7,25,17,2022,5,14,9,24.873325,46.655411,0.6666666666666666,1.0266666666666666
795438,4344852,819000,3,3,3,90,36,0,2,0,0,حي القيروان,30.0,3.0,normal_marketer,north,Al Qirawan Dist.,91,91,2022,5,24,16,2022,5,23,20,24.830503,46.597595,0.1,1.0
1036472,4582929,1600000,4,2,4,232,20,2,7,1,0,حي الملقا,,,owner,north,Al Malqa Dist.,21,11,2022,8,12,16,2022,8,1,21,24.780367,46.587627,,
1200246,4378783,935000,3,1,3,125,30,0,4,0,0,حي النرجس,10.0,12.0,normal_marketer,north,An Narjis Dist.,82,11,2022,8,12,16,2022,6,2,14,24.838739,46.663864,0.8333333333333334,1.0416666666666667
43792,4112680,1300000,3,2,3,146,15,10,1,1,1,حي حطين,10.0,14.0,agent,north,Hiteen Dist.,168,11,2022,8,12,16,2022,3,8,13,24.774302,46.60873,0.7142857142857143,1.042857142857143
874832,4362476,1020000,4,1,3,130,36,0,2,1,0,حي الياسمين,10.0,13.0,exclusive_marketer,north,Al Yasmin Dist.,86,13,2022,8,10,1,2022,5,29,2,24.83252,46.646118,0.7692307692307693,1.0
448801,4568565,1385000,3,2,3,199,25,4,1,1,0,حي الياسمين,12.0,16.0,exclusive_marketer,north,Al Yasmin Dist.,25,13,2022,8,10,19,2022,7,28,20,24.82309,46.628002,0.75,1.0364583333333333
874832,4552810,1249000,4,2,3,167,30,0,8,1,1,حي العارض,12.0,13.0,exclusive_marketer,north,Al Arid Dist.,30,13,2022,8,10,1,2022,7,24,17,24.888817,46.611454,0.9230769230769231,1.0705128205128205
653976,4614016,650000,3,1,3,170,,0,9,1,0,حي النرجس,10.0,17.0,owner,north,An Narjis Dist.,14,12,2022,8,10,22,2022,8,9,20,24.85483,46.673584,0.5882352941176471,1.0
472186,4577098,900000,3,2,3,123,36,6,2,1,0,حي الملقا,,,agent,north,Al Malqa Dist.,23,18,2022,8,5,18,2022,7,31,13,24.799776,46.617828,,
588058,4458713,995000,4,1,3,150,30,0,2,1,0,حي النرجس,,,,north,An Narjis Dist.,61,18,2022,8,5,14,2022,6,23,14,24.850028,46.676108,,
588058,4459416,970000,4,1,3,178,30,0,2,1,0,حي النرجس,,,,north,An Narjis Dist.,61,18,2022,8,5,14,2022,6,23,17,24.851033,46.676657,,
874832,4617670,1150000,4,1,3,173,30,0,8,0,0,حي العارض,13.0,13.0,normal_marketer,north,Al Arid Dist.,13,13,2022,8,10,18,2022,8,10,17,24.88908,46.611485,1.0,1.0236686390532543
874832,4617592,870000,3,1,3,119,30,0,8,1,0,حي العارض,10.0,11.0,exclusive_marketer,north,Al Arid Dist.,13,13,2022,8,10,18,2022,8,10,17,24.888834,46.611576,0.9090909090909091,1.0818181818181818
160257,4546674,800000,2,2,2,120,5,10,3,1,0,حي العقيق,,,exclusive_marketer,north,Al Aqiq Dist.,31,12,2022,8,10,21,2022,7,23,0,24.782953,46.618671,,
874832,4617709,900000,3,1,3,123,30,0,8,0,0,حي العارض,11.0,11.0,normal_marketer,north,Al Arid Dist.,13,13,2022,8,10,18,2022,8,10,18,24.889189,46.611465,1.0,1.0165289256198347
164608,3740688,2100000,1,1,2,90,60,0,5,1,1,حي العليا,,,exclusive_marketer,north,Al Olaya Dist.,272,12,2022,8,10,23,2021,11,23,22,24.709377,46.672771,,
1200246,4390557,929000,3,2,3,128,30,0,3,1,0,حي النرجس,12.0,10.0,exclusive_marketer,north,An Narjis Dist.,78,11,2022,8,12,16,2022,6,5,21,24.835857,46.666801,0.8333333333333334,1.0666666666666667
164608,3775108,2550000,1,1,2,102,60,0,5,1,1,حي العليا,,,exclusive_marketer,north,Al Olaya Dist.,262,14,2022,8,9,9,2021,12,4,18,24.709423,46.672714,,
1012098,4403143,950000,5,2,5,180,20,11,1,1,0,حي الياسمين,15.0,12.0,exclusive_marketer,north,Al Yasmin Dist.,75,11,2022,8,12,15,2022,6,9,1,24.826076,46.64568,0.8,1.0
1012098,4510712,1150000,4,2,3,190,30,0,1,1,0,حي القيروان,13.0,15.0,exclusive_marketer,north,Al Qirawan Dist.,42,11,2022,8,12,15,2022,7,12,15,24.871181,46.557941,0.8666666666666667,0.9743589743589743
457714,4118855,800000,3,1,2,116,20,7,3,1,0,حي النخيل,,,owner,north,Al Nakhil Dist.,166,17,2022,8,6,16,2022,3,9,23,24.750657,46.637386,,
448801,4594991,1199000,3,1,3,185,36,0,2,1,0,حي النفل,46.0,4.0,agent,north,Al Nafl Dist.,18,13,2022,8,10,19,2022,8,4,21,24.784056,46.672997,0.08695652173913043,1.0054347826086956
122960,4342262,1300000,3,1,4,125,36,1,3,1,0,حي الياسمين,10.0,12.0,exclusive_marketer,north,Al Yasmin Dist.,92,17,2022,8,6,8,2022,5,23,8,24.828346,46.62899,0.8333333333333334,1.0416666666666667
